cod_mun,nome,pop_quilombola,pop_total,pct_quilombola
3172004,Visconde do Rio Branco - MG,83.0,39160,0.21
3129509,Ibiá - MG,82.0,22229,0.37
3102407,Alvorada de Minas - MG,80.0,4159,1.92
3136520,José Gonçalves de Minas - MG,80.0,3969,2.02
3165008,São Tiago - MG,79.0,11192,0.71
3170750,Varjão de Minas - MG,79.0,6969,1.13
3166105,Senhora do Porto - MG,77.0,3067,2.51
3162906,São João Nepomuceno - MG,76.0,25565,0.3
3123601,Elói Mendes - MG,76.0,26336,0.29
3125507,São Gonçalo do Rio Preto - MG,70.0,3032,2.31
3159902,Santo Antônio do Amparo - MG,69.0,17285,0.4
3145455,Olhos-d'Água - MG,68.0,5385,1.26
3141603,Mercês - MG,68.0,10373,0.66
3150000,Pescador - MG,67.0,3570,1.88
3111507,Campos Altos - MG,67.0,12979,0.52
3152006,Pompéu - MG,63.0,31047,0.2
3113008,Caraí - MG,61.0,19548,0.31
3170529,Urucuia - MG,59.0,17479,0.34
3130655,Indaiabira - MG,58.0,6346,0.91
3169356,Três Marias - MG,58.0,28895,0.2
3150570,Pintópolis - MG,57.0,7084,0.8
3156502,Rubelita - MG,56.0,5679,0.99
3122603,Dom Joaquim - MG,56.0,4899,1.14
3170206,Uberlândia - MG,55.0,713224,0.01
3111309,Campo do Meio - MG,55.0,11377,0.48
3118106,Congonhas do Norte - MG,54.0,4831,1.12
3108800,Braúnas - MG,52.0,4441,1.17
3141009,Mato Verde - MG,52.0,12038,0.43
3119104,Corinto - MG,51.0,23532,0.22
3137908,Lamim - MG,48.0,3184,1.51
3142809,Monte Alegre de Minas - MG,47.0,20170,0.23
3144102,Muzambinho - MG,44.0,21891,0.2
3159605,Santa Rita do Sapucaí - MG,43.0,40635,0.11
3131307,Ipatinga - MG,39.0,227731,0.02
3153400,Presidente Olegário - MG,38.0,18765,0.2
3162252,São João da Lagoa - MG,38.0,4822,0.79
3157104,Salto da Divisa - MG,37.0,6110,0.61
3151701,Poço Fundo - MG,37.0,16390,0.23
3150604,Piracema - MG,37.0,6700,0.55
3122702,Dom Silvério - MG,36.0,5228,0.69
3147907,Passos - MG,36.0,111939,0.03
3145208,Nova Serrana - MG,35.0,105552,0.03
3152808,Prata - MG,35.0,28342,0.12
3152501,Pouso Alegre - MG,35.0,152217,0.02
3166808,Serra do Salitre - MG,33.0,11801,0.28
3133501,Itapecerica - MG,32.0,21046,0.15
3115201,Conceição da Barra de Minas - MG,31.0,3560,0.87
3158953,Santana do Paraíso - MG,31.0,44800,0.07
3148004,Patos de Minas - MG,28.0,159235,0.02
3135605,Jequitaí - MG,28.0,6484,0.43
3166501,Serra Azul de Minas - MG,28.0,3792,0.74
3120102,Couto de Magalhães de Minas - MG,27.0,4245,0.64
3102803,Andrelândia - MG,26.0,11927,0.22
3146008,Ouro Fino - MG,25.0,32094,0.08
3149309,Pedro Leopoldo - MG,25.0,62580,0.04
3103306,Aracitaba - MG,24.0,2049,1.17
3170404,Unaí - MG,24.0,86619,0.03
3139607,Mantena - MG,23.0,26535,0.09
3157203,Santa Bárbara - MG,23.0,30466,0.08
3168903,Tiros - MG,23.0,7883,0.29
3102902,Antônio Carlos - MG,21.0,11095,0.19
3116308,Cipotânea - MG,21.0,5581,0.38
3164704,São Sebastião do Paraíso - MG,20.0,71796,0.03
3149705,Perdigão - MG,19.0,12268,0.15
3138906,Machacalis - MG,18.0,6487,0.28
3110301,Caldas - MG,17.0,14217,0.12
3114204,Carmo do Cajuru - MG,17.0,23479,0.07
3116506,Claro dos Poções - MG,17.0,7166,0.24
3149952,Periquito - MG,16.0,6553,0.24
3161809,São Gonçalo do Pará - MG,16.0,11770,0.14
3113503,Carbonita - MG,15.0,8512,0.18
3108206,Bonfinópolis de Minas - MG,14.0,5528,0.25
3143104,Monte Carmelo - MG,14.0,47692,0.03
3114808,Carvalhos - MG,14.0,4422,0.32
3138500,Liberdade - MG,14.0,4737,0.3
3137007,Ladainha - MG,12.0,14383,0.08
3145604,Oliveira - MG,11.0,39262,0.03
3101631,Alfredo Vasconcelos - MG,10.0,6931,0.14
3148509,Pavão - MG,10.0,8047,0.12
3133402,Itapagipe - MG,10.0,13690,0.07
3105400,Barão de Cocais - MG,9.0,30778,0.03
3159704,Santa Rosa da Serra - MG,9.0,3382,0.27
3133808,Itaúna - MG,9.0,97669,0.01
3145356,Novo Oriente de Minas - MG,9.0,10275,0.09
3132305,Itaipé - MG,9.0,10463,0.09
3127354,Glaucilândia - MG,8.0,2928,0.27
3160900,São Brás do Suaçuí - MG,8.0,3989,0.2
3137106,Lagamar - MG,8.0,6631,0.12
3110509,Camanducaia - MG,8.0,26097,0.03
3143153,Monte Formoso - MG,8.0,4381,0.18
3149101,Pedralva - MG,7.0,10760,0.07
3159308,Santa Rita de Jacutinga - MG,7.0,4755,0.15
3167202,Sete Lagoas - MG,7.0,227397,0.0
3162104,São Gotardo - MG,7.0,40910,0.02
3162559,São João do Manhuaçu - MG,7.0,11246,0.06
3139003,Machado - MG,7.0,37684,0.02
3142700,Montalvânia - MG,7.0,14060,0.05
3104007,Araxá - MG,7.0,111691,0.01
3134202,Ituiutaba - MG,6.0,102217,0.01
3163508,São José do Jacuri - MG,6.0,6197,0.1
3111002,Campestre - MG,6.0,20696,0.03
3133303,Itaobim - MG,6.0,19151,0.03
3110004,Caeté - MG,6.0,38776,0.02
3155108,Rio do Prado - MG,6.0,4639,0.13
3127107,Frutal - MG,6.0,58588,0.01
